Symbol,Name
SCCO,Southern Copper Corporation Common Stock
RIO,Rio Tinto Plc Common Stock
FCX,Freeport-McMoRan Inc. Common Stock
NEM,Newmont Corporation
VALE,VALE S.A.  American Depositary Shares Each Representing one common share
AEM,Agnico Eagle Mines Limited Common Stock
GOLD,Barrick Gold Corporation Common Stock (BC)
WPM,Wheaton Precious Metals Corp Common Shares (Canada)
FNV,Franco-Nevada Corporation
CCJ,Cameco Corporation Common Stock
SOJE,Southern Company (The) Series 2020C 4.20% Junior Subordinated Notes due October 15 2060
IP,International Paper Company Common Stock
GFI,Gold Fields Limited American Depositary Shares
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share)
KGC,Kinross Gold Corporation Common Stock
AU,AngloGold Ashanti PLC Ordinary Shares
FBIN,Fortune Brands Innovations Inc. Common Stock
AGI,Alamos Gold Inc. Class A Common Shares
PAAS,Pan American Silver Corp. Common Stock
TREX,Trex Company Inc. Common Stock
UFPI,UFP Industries Inc. Common Stock
WFG,West Fraser Timber Co. Ltd Common stock
LPX,Louisiana-Pacific Corporation Common Stock
HMY,Harmony Gold Mining Company Limited
CLF,Cleveland-Cliffs Inc. Common Stock
BTG,B2Gold Corp Common shares (Canada)
NXE,Nexgen Energy Ltd. Common Shares
OR,Osisko Gold Royalties Ltd Common Shares
HBM,Hudbay Minerals Inc. Ordinary Shares (Canada)
SLVM,Sylvamo Corporation Common Stock
SBSW,D/B/A Sibanye-Stillwater Limited ADS
BVN,Buenaventura Mining Company Inc.
IAG,Iamgold Corporation Ordinary Shares
MP,MP Materials Corp. Common Stock
UEC,Uranium Energy Corp. Common Stock
CDE,Coeur Mining Inc. Common Stock
EQX,Equinox Gold Corp. Common Shares
NGD,New Gold Inc.
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
ERO,Ero Copper Corp. Common Shares
DNN,Denison Mines Corp Ordinary Shares (Canada)
SAND          ,Sandstorm Gold Ltd. Ordinary Shares (Canada)
MAG,MAG Silver Corporation Ordinary Shares
FSM,Fortuna Mining Corp. Common Shares
SA,Seabridge Gold Inc. Ordinary Shares (Canada)
SGML,Sigma Lithium Corporation Common Shares
ORLA,Orla Mining Ltd. Common Shares
SILV,SilverCrest Metals Inc. Common Shares
AMWD,American Woodmark Corporation Common Stock
