Symbol,Name
AMZN,Amazon.com Inc. Common Stock
TSLA,Tesla Inc. Common Stock
WMT,Walmart Inc. Common Stock
V,Visa Inc.
MA,Mastercard Incorporated Common Stock
HD,Home Depot Inc. (The) Common Stock
PG,Procter & Gamble Company (The) Common Stock
COST,Costco Wholesale Corporation Common Stock
NFLX,Netflix Inc. Common Stock
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share
TM,Toyota Motor Corporation Common Stock
ACN,Accenture plc Class A Ordinary Shares (Ireland)
MCD,McDonald's Corporation Common Stock
DIS,Walt Disney Company (The) Common Stock
PDD,PDD Holdings Inc. American Depositary Shares
BKNG,Booking Holdings Inc. Common Stock
UBER,Uber Technologies Inc. Common Stock
UL,Unilever PLC Common Stock
LOW,Lowe's Companies Inc. Common Stock
TJX,TJX Companies Inc. (The) Common Stock
RACE,Ferrari N.V. Common Shares
NKE,Nike Inc. Common Stock
FI,Fiserv Inc. Common Stock
SBUX,Starbucks Corporation Common Stock
MELI,MercadoLibre Inc. Common Stock
SHW,Sherwin-Williams Company (The) Common Stock
RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share)
CTAS,Cintas Corporation Common Stock
CMG,Chipotle Mexican Grill Inc. Common Stock
PYPL,PayPal Holdings Inc. Common Stock
CL,Colgate-Palmolive Company Common Stock
SPOT,Spotify Technology S.A. Ordinary Shares
TRI,Thomson Reuters Corp Common Shares
MAR,Marriott International Class A Common Stock
ECL,Ecolab Inc. Common Stock
TGT,Target Corporation Common Stock
FDX,FedEx Corporation Common Stock
ORLY,O'Reilly Automotive Inc. Common Stock
DASH,DoorDash Inc. Class A Common Stock
JD,JD.com Inc. American Depositary Shares
HLT,Hilton Worldwide Holdings Inc. Common Stock 
GM,General Motors Company Common Stock
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share
DHI,D.R. Horton Inc. Common Stock
RCL,Royal Caribbean Cruises Ltd. Common Stock
PCAR,PACCAR Inc. Common Stock
URI,United Rentals Inc. Common Stock
AZO,AutoZone Inc. Common Stock
PAYX,Paychex Inc. Common Stock
