Symbol,Name
KO,Coca-Cola Company (The) Common Stock
PEP,PepsiCo Inc. Common Stock
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock
SONY,Sony Group Corporation American Depositary Shares 
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium)
MDLZ,Mondelez International Inc. Class A Common Stock
CVS,CVS Health Corporation Common Stock
DEO,Diageo plc Common Stock
MNST,Monster Beverage Corporation
KDP,Keurig Dr Pepper Inc. Common Stock
STZ,Constellation Brands Inc. Common Stock
CTVA,Corteva Inc. Common Stock 
KR,Kroger Company (The) Common Stock
KHC,The Kraft Heinz Company Common Stock
GIS,General Mills Inc. Common Stock
HSY,The Hershey Company Common Stock
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
K,Kellanova Common Stock
ADM,Archer-Daniels-Midland Company Common Stock
MKC,McCormick & Company Incorporated Common Stock
TSN,Tyson Foods Inc. Common Stock
KOF,Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares)
HRL,Hormel Foods Corporation Common Stock
CAG,ConAgra Brands Inc. Common Stock
CPB,Campbell Soup Company Common Stock
SFM,Sprouts Farmers Market Inc. Common Stock
SJM,The J.M. Smucker Company Common Stock
PPC,Pilgrim's Pride Corporation Common Stock
BG,Bunge Limited Common Shares
LW,Lamb Weston Holdings Inc. Common Stock 
ACI,Albertsons Companies Inc. Class A Common Stock
TAP,Molson Coors Beverage Company Class B Common Stock
COKE,Coca-Cola Consolidated Inc. Common Stock
INGR,Ingredion Incorporated Common Stock
BRBR,BellRing Brands Inc. Common Stock 
WBA,Walgreens Boots Alliance Inc. Common Stock
BRFS,BRF S.A.
CELH,Celsius Holdings Inc. Common Stock
FRPT,Freshpet Inc. Common Stock
POST,Post Holdings Inc. Common Stock
DAR,Darling Ingredients Inc. Common Stock
LANC,Lancaster Colony Corporation Common Stock
FLO,Flowers Foods Inc. Common Stock
FIZZ,National Beverage Corp. Common Stock
CALM,Cal-Maine Foods Inc. Common Stock
PRMW,Primo Water Corporation Common Stock
TBBB,BBB Foods Inc. Class A Common Shares
SMPL,The Simply Good Foods Company Common Stock
