Symbol,Name
XOM,Exxon Mobil Corporation Common Stock
CVX,Chevron Corporation Common Stock
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) 
TTE,TotalEnergies SE
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)
COP,ConocoPhillips Common Stock
ENB,Enbridge Inc Common Stock
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock
BP,BP p.l.c. Common Stock
CNQ,Canadian Natural Resources Limited Common Stock
EOG,EOG Resources Inc. Common Stock
EQNR,Equinor ASA
SLB,Schlumberger N.V. Common Stock
E,ENI S.p.A. Common Stock
PSX,Phillips 66 Common Stock
MPC,Marathon Petroleum Corporation Common Stock
SU,Suncor Energy  Inc. Common Stock
MPLX,MPLX LP Common Units Representing Limited Partner Interests
OXY,Occidental Petroleum Corporation Common Stock
HES,Hess Corporation Common Stock
VLO,Valero Energy Corporation Common Stock
IMO,Imperial Oil Limited Common Stock
FANG,Diamondback Energy Inc. Common Stock
WDS,Woodside Energy Group Limited American Depositary Shares each representing one Ordinary Share
CVE,Cenovus Energy Inc Common Stock
TPL,Texas Pacific Land Corporation Common Stock
HAL,Halliburton Company Common Stock
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada)
DVN,Devon Energy Corporation Common Stock
EQT,EQT Corporation Common Stock
EXE,Expand Energy Corporation Common Stock
EXEEZ,Expand Energy Corporation Class B Warrants
CTRA,Coterra Energy Inc. Common Stock
EC,Ecopetrol S.A. American Depositary Shares
EXEEL,Expand Energy Corporation Class C Warrants
MRO,Marathon Oil Corporation Common Stock
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests
PR,Permian Resources Corporation Class A Common Stock
OVV,Ovintiv Inc. (DE)
YPF,YPF Sociedad Anonima Common Stock
WWD,Woodward Inc. Common Stock
VNOM,Viper Energy Inc. Class A Common Stock
APA,APA Corporation Common Stock
AR,Antero Resources Corporation Common Stock
SUN,Sunoco LP Common Units representing limited partner interests
CHRD,Chord Energy Corporation Common Stock
DINO,HF Sinclair Corporation Common Stock
RRC,Range Resources Corporation Common Stock
MTDR,Matador Resources Company Common Stock
