Symbol,Name
NVO,Novo Nordisk A/S Common Stock
SAP,SAP  SE ADS
ASML,ASML Holding N.V. New York Registry Shares
NVS,Novartis AG Common Stock
AZN,AstraZeneca PLC American Depositary Shares
ACN,Accenture plc Class A Ordinary Shares (Ireland)
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) 
LYG,Lloyds Banking Group Plc American Depositary Shares
HSBC,HSBC Holdings plc. Common Stock
UL,Unilever PLC Common Stock
ARM,Arm Holdings plc American Depositary Shares
TTE,TotalEnergies SE
SNY,Sanofi ADS
ETN,Eaton Corporation PLC Ordinary Shares
RACE,Ferrari N.V. Common Shares
CB,Chubb Limited  Common Stock
UBS,UBS Group AG Registered Ordinary Shares
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium)
RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share)
TT,Trane Technologies plc
BP,BP p.l.c. Common Stock
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR
SAN,Banco Santander S.A. Sponsored ADR (Spain)
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares)
SPOT,Spotify Technology S.A. Ordinary Shares
DEO,Diageo plc Common Stock
EQNR,Equinor ASA
CRH,CRH PLC Ordinary Shares
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares
NXPI,NXP Semiconductors N.V. Common Stock
ING,ING Group N.V. Common Stock
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock
SLB,Schlumberger N.V. Common Stock
E,ENI S.p.A. Common Stock
JCI,Johnson Controls International plc Ordinary Share
ALC,Alcon Inc. Ordinary Shares
BCS,Barclays PLC Common Stock
TEL,TE Connectivity plc Ordinary Shares
HLN,Haleon plc American Depositary Shares (Each representing two Ordinary Shares)
STLA,Stellantis N.V. Common Shares
NWG,NatWest Group plc American Depositary Shares (each representing two (2) Ordinary Shares)
FERG,Ferguson Enterprises Inc. Common Stock
GRMN,Garmin Ltd. Common Stock (Switzerland)
ARGX,argenx SE American Depositary Shares
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares
DB,Deutsche Bank AG Common Stock
WTW,Willis Towers Watson Public Limited Company Ordinary Shares
FER,Ferrovial SE Ordinary Shares
MTD,Mettler-Toledo International Inc. Common Stock
