Symbol,Name
JPM,JP Morgan Chase & Co. Common Stock
BAC,Bank of America Corporation Common Stock
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan)
WFC,Wells Fargo & Company Common Stock
AXP,American Express Company Common Stock
MS,Morgan Stanley Common Stock
RY,Royal Bank Of Canada Common Stock
LYG,Lloyds Banking Group Plc American Depositary Shares
HSBC,HSBC Holdings plc. Common Stock
GS,Goldman Sachs Group Inc. (The) Common Stock
HDB,HDFC Bank Limited Common Stock
SPGI,S&P Global Inc. Common Stock
BLK,BlackRock Inc. Common Stock
PGR,Progressive Corporation (The) Common Stock
SCHW,Charles Schwab Corporation (The) Common Stock
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock
KKR,KKR & Co. Inc. Common Stock
C,Citigroup Inc. Common Stock
BX,Blackstone Inc. Common Stock
CB,Chubb Limited  Common Stock
UBS,UBS Group AG Registered Ordinary Shares
MMC,Marsh & McLennan Companies Inc. Common Stock
IBN,ICICI Bank Limited Common Stock
TD,Toronto Dominion Bank (The) Common Stock
ICE,Intercontinental Exchange Inc. Common Stock
ABNB,Airbnb Inc. Class A Common Stock
MCO,Moody's Corporation Common Stock
CME,CME Group Inc. Class A Common Stock
APO,Apollo Global Management Inc. (New) Common Stock
AON,Aon plc Class A Ordinary Shares (Ireland)
SAN,Banco Santander S.A. Sponsored ADR (Spain)
USB,U.S. Bancorp Common Stock
PNC,PNC Financial Services Group Inc. (The) Common Stock
NU,Nu Holdings Ltd. Class A Ordinary Shares
BMO,Bank Of Montreal Common Stock
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares
COF,Capital One Financial Corporation Common Stock
AJG,Arthur J. Gallagher & Co. Common Stock
CM,Canadian Imperial Bank of Commerce Common Stock
ING,ING Group N.V. Common Stock
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock
AFL,AFLAC Incorporated Common Stock
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares)
TFC,Truist Financial Corporation Common Stock
TRV,The Travelers Companies Inc. Common Stock
BK,The Bank of New York Mellon Corporation Common Stock
MET,MetLife Inc. Common Stock
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan)
MFC,Manulife Financial Corporation Common Stock
