Symbol,Name
LIN,Linde plc Ordinary Shares
TMO,Thermo Fisher Scientific Inc Common Stock
CAT,Caterpillar Inc. Common Stock
DHR,Danaher Corporation Common Stock
RTX,RTX Corporation Common Stock
UNP,Union Pacific Corporation Common Stock
HON,Honeywell International Inc. Common Stock
LMT,Lockheed Martin Corporation Common Stock
UPS,United Parcel Service Inc. Common Stock
DE,Deere & Company Common Stock
BA,Boeing Company (The) Common Stock
TT,Trane Technologies plc
PH,Parker-Hannifin Corporation Common Stock
GD,General Dynamics Corporation Common Stock
ITW,Illinois Tool Works Inc. Common Stock
NOC,Northrop Grumman Corporation Common Stock
TDG,Transdigm Group Incorporated Common Stock
CP,Canadian Pacific Kansas City Limited Common Shares
APD,Air Products and Chemicals Inc. Common Stock
CNI,Canadian National Railway Company Common Stock
CRH,CRH PLC Ordinary Shares
CARR,Carrier Global Corporation Common Stock 
CSX,CSX Corporation Common Stock
ROP,Roper Technologies Inc. Common Stock
NSC,Norfolk Southern Corporation Common Stock
GWW,W.W. Grainger Inc. Common Stock
JCI,Johnson Controls International plc Ordinary Share
LHX,L3Harris Technologies Inc. Common Stock
CMI,Cummins Inc. Common Stock
PWR,Quanta Services Inc. Common Stock
ODFL,Old Dominion Freight Line Inc. Common Stock
GLW,Corning Incorporated Common Stock
AME,AMETEK Inc.
HWM,Howmet Aerospace Inc. Common Stock
A,Agilent Technologies Inc. Common Stock
GRMN,Garmin Ltd. Common Stock (Switzerland)
IR,Ingersoll Rand Inc. Common Stock
BKR,Baker Hughes Company Class A Common Stock
VMC,Vulcan Materials Company (Holding Company) Common Stock
MLM,Martin Marietta Materials Inc. Common Stock
DD,DuPont de Nemours Inc. Common Stock
DOW,Dow Inc. Common Stock 
HEI,Heico Corporation Common Stock
NUE,Nucor Corporation Common Stock
AXON,Axon Enterprise Inc. Common Stock
WAB,Westinghouse Air Brake Technologies Corporation Common Stock
ROK,Rockwell Automation Inc. Common Stock
FER,Ferrovial SE Ordinary Shares
XYL,Xylem Inc. Common Stock New
