Symbol,Name
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares
CHKP,Check Point Software Technologies Ltd. Ordinary Shares
MNDY,monday.com Ltd. Ordinary Shares
CYBR,CyberArk Software Ltd. Ordinary Shares
NICE,NICE Ltd American Depositary Shares
ESLT,Elbit Systems Ltd. Ordinary Shares
WIX,Wix.com Ltd. Ordinary Shares
DRS,Leonardo DRS Inc. Common Stock
GLBE,Global-E Online Ltd. Ordinary Shares
TKC,Turkcell Iletisim Hizmetleri AS Common Stock
ICL,ICL Group Ltd. Ordinary Shares
NVMI,Nova Ltd. Ordinary Shares
TSEM,Tower Semiconductor Ltd. Ordinary Shares
CLBT,Cellebrite DI Ltd. Ordinary Shares
CAMT,Camtek Ltd. Ordinary Shares
PLTK,Playtika Holding Corp. Common Stock
ODD,ODDITY Tech Ltd. Class A Ordinary Shares
ENLT,Enlight Renewable Energy Ltd. Ordinary Shares
MBLY,Mobileye Global Inc. Class A Common Stock
INMD,InMode Ltd. Ordinary Shares
FORTY,Formula Systems (1985) Ltd. American Depositary Shares
TBLA,Taboola.com Ltd. Ordinary Shares
KRNT,Kornit Digital Ltd. Ordinary Shares
NYAX,Nayax Ltd. Ordinary Shares
HEPS,D-Market Electronic Services & Trading American Depositary Shares
SEDG,SolarEdge Technologies Inc. Common Stock
RDWR,Radware Ltd. Ordinary Shares
PGY,Pagaya Technologies Ltd. Class A Ordinary Shares
YALA,Yalla Group Limited American Depositary Shares each representing one Class A Ordinary Share
NEXN,Nexxen International Ltd. American Depository Shares
MGIC,Magic Software Enterprises Ltd. Ordinary Shares
ITRN,Ituran Location and Control Ltd. Ordinary Shares
URGN,UroGen Pharma Ltd. Ordinary Shares
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock
NNDM,Nano Dimension Ltd. American Depositary Shares
CGNT,Cognyte Software Ltd. Ordinary Shares
PERI,Perion Network Ltd. Ordinary Shares
NNOX,NANO-X IMAGING LTD Ordinary Shares
GILT,Gilat Satellite Networks Ltd. Ordinary Shares
AUDC,AudioCodes Ltd. Common Stock
KMDA,Kamada Ltd. Ordinary Shares
NWTN,NWTN Inc. Class B Ordinary Shares
CRNT,Ceragon Networks Ltd. Ordinary Shares
MDWD,MediWound Ltd. Ordinary Shares
TATT,TAT Technologies Ltd. Ordinary Shares
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel)
GAUZ,Gauzy Ltd. Ordinary Shares
BWAY,BrainsWay Ltd. American Depositary Shares
RDCM,Radcom Ltd. Ordinary Shares
