Symbol,Name
AAPL,Apple Inc. Common Stock
NVDA,NVIDIA Corporation Common Stock
MSFT,Microsoft Corporation Common Stock
GOOG,Alphabet Inc. Class C Capital Stock
GOOGL,Alphabet Inc. Class A Common Stock
AMZN,Amazon.com Inc. Common Stock
META,Meta Platforms Inc. Class A Common Stock
BRK/B,Berkshire Hathaway Inc.
BRK/A,Berkshire Hathaway Inc.
TSLA,Tesla Inc. Common Stock
AVGO,Broadcom Inc. Common Stock
LLY,Eli Lilly and Company Common Stock
WMT,Walmart Inc. Common Stock
JPM,JP Morgan Chase & Co. Common Stock
V,Visa Inc.
UNH,UnitedHealth Group Incorporated Common Stock (DE)
XOM,Exxon Mobil Corporation Common Stock
ORCL,Oracle Corporation Common Stock
MA,Mastercard Incorporated Common Stock
HD,Home Depot Inc. (The) Common Stock
PG,Procter & Gamble Company (The) Common Stock
COST,Costco Wholesale Corporation Common Stock
JNJ,Johnson & Johnson Common Stock
ABBV,AbbVie Inc. Common Stock
NFLX,Netflix Inc. Common Stock
BAC,Bank of America Corporation Common Stock
CRM,Salesforce Inc. Common Stock
KO,Coca-Cola Company (The) Common Stock
CVX,Chevron Corporation Common Stock
TMUS,T-Mobile US Inc. Common Stock
MRK,Merck & Company Inc. Common Stock (new)
CCZ,Comcast Holdings ZONES
AMD,Advanced Micro Devices Inc. Common Stock
PEP,PepsiCo Inc. Common Stock
CSCO,Cisco Systems Inc. Common Stock (DE)
WFC,Wells Fargo & Company Common Stock
LIN,Linde plc Ordinary Shares
TMO,Thermo Fisher Scientific Inc Common Stock
ADBE,Adobe Inc. Common Stock
MCD,McDonald's Corporation Common Stock
ABT,Abbott Laboratories Common Stock
PM,Philip Morris International Inc Common Stock
NOW,ServiceNow Inc. Common Stock
IBM,International Business Machines Corporation Common Stock
AXP,American Express Company Common Stock
MS,Morgan Stanley Common Stock
TXN,Texas Instruments Incorporated Common Stock
GE,GE Aerospace Common Stock
QCOM,QUALCOMM Incorporated Common Stock
