Symbol,Name
ATHE,Alterity Therapeutics Limited American Depositary Shares
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)
CENN,Cenntro Inc. Common Stock
COOT,Australian Oilseeds Holdings Limited Ordinary Shares
COOTW,Australian Oilseeds Holdings Limited Warrant
FTEL,Fitell Corporation Ordinary Shares
GELS,Gelteq Limited Ordinary Shares
GVH,Globavend Holdings Limited Ordinary Shares
IBG,Innovation Beverage Group Limited Ordinary Shares
IMMP,Immutep Limited American Depositary Shares
IMRN,Immuron Limited American Depositary Shares
IMTE,Integrated Media Technology Limited Ordinary Shares
IONR,ioneer Ltd American Depositary Shares
IREN,Iris Energy Limited Ordinary Shares
IXHL,Incannex Healthcare Inc. Common Stock
KZIA,Kazia Therapeutics Limited American Depositary Shares
LCFY,Locafy Limited Ordinary Share
LCFYW,Locafy Limited Warrant
MESO,Mesoblast Limited American Depositary Shares
MIGI,Mawson Infrastructure Group Inc. Common Stock
NVA,Nova Minerals Limited American Depositary Shares
NVAWW,Nova Minerals Limited Warrant
NVX,NOVONIX Limited American Depository Shares
OPT,Opthea Limited American Depositary Shares
RIO,Rio Tinto Plc Common Stock
TEAM,Atlassian Corporation Class A Common Stock
VSTE,Vast Renewables Limited Ordinary Shares
VSTEW,Vast Renewables Limited Warrants
WDS,Woodside Energy Group Limited American Depositary Shares each representing one Ordinary Share
