Symbol,Name
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
AFYA,Afya Limited Class A Common Shares
ARCO,Arcos Dorados Holdings Inc. Class A Shares
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares)
BAK,Braskem SA ADR
BBAR,Banco BBVA Argentina S.A. ADS
BBD,Banco Bradesco Sa American Depositary Shares
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share)
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares)
BRFS,BRF S.A.
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit
CIG,Comp En De Mn Cemig ADS American Depositary Shares
CRESW,Cresud S.A.C.I.F. y A. Warrant
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares
CSAN,Cosan S.A. ADS
DESP,Despegar.com Corp. Ordinary Shares
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share)
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares)
ELPC,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing four (4) Common Shares)
ERJ,Embraer S.A. Common Stock
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares
GGB,Gerdau S.A. Common Stock
INTR,Inter & Co. Inc. Class A Common Shares
IRS,IRSA Inversiones Y Representaciones S.A. Global Depositary Shares (Each representing ten shares of Common Stock)
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares)
LND,Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil)
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS
LVRO,Lavoro Limited Class A Ordinary Shares
LVROW,Lavoro Limited Warrant
MELI,MercadoLibre Inc. Common Stock
PAM,Pampa Energia S.A.
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares)
SID,Companhia Siderurgica Nacional S.A. Common Stock
STNE,StoneCo Ltd. Class A Common Shares
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share)
TEO,Telecom Argentina SA
TGS,Transportadora de Gas del Sur SA TGS Common Stock
TIMB,TIM S.A. American Depositary Shares (Each representing 5 Common Shares) 
UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share)
VALE,VALE S.A.  American Depositary Shares Each Representing one common share
VINP,Vinci Partners Investments Ltd. Class A Common Shares
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share)
VSTA,Vasta Platform Limited Class A Ordinary Shares
XP,XP Inc. Class A Common Stock
YPF,YPF Sociedad Anonima Common Stock
ZENV,Zenvia Inc. Class A Common Stock
