Symbol,Name
AAPL,Apple Inc. Common Stock
NVDA,NVIDIA Corporation Common Stock
MSFT,Microsoft Corporation Common Stock
GOOG,Alphabet Inc. Class C Capital Stock
GOOGL,Alphabet Inc. Class A Common Stock
META,Meta Platforms Inc. Class A Common Stock
TSM,Taiwan Semiconductor Manufacturing Company Ltd.
AVGO,Broadcom Inc. Common Stock
ORCL,Oracle Corporation Common Stock
CRM,Salesforce Inc. Common Stock
SAP,SAP  SE ADS
ASML,ASML Holding N.V. New York Registry Shares
AMD,Advanced Micro Devices Inc. Common Stock
ADBE,Adobe Inc. Common Stock
NOW,ServiceNow Inc. Common Stock
IBM,International Business Machines Corporation Common Stock
TXN,Texas Instruments Incorporated Common Stock
GE,GE Aerospace Common Stock
QCOM,QUALCOMM Incorporated Common Stock
INTU,Intuit Inc. Common Stock
NEE,NextEra Energy Inc. Common Stock
AMAT,Applied Materials Inc. Common Stock
ARM,Arm Holdings plc American Depositary Shares
ETN,Eaton Corporation PLC Ordinary Shares
PANW,Palo Alto Networks Inc. Common Stock
ADP,Automatic Data Processing Inc. Common Stock
ADI,Analog Devices Inc. Common Stock
MU,Micron Technology Inc. Common Stock
SHOP,Shopify Inc. Class A Subordinate Voting Shares
INTC,Intel Corporation Common Stock
LRCX,Lam Research Corporation Common Stock
PLTR,Palantir Technologies Inc. Class A Common Stock
DELL,Dell Technologies Inc. Class C Common Stock 
KLAC,KLA Corporation Common Stock
INFY,Infosys Limited American Depositary Shares
APH,Amphenol Corporation Common Stock
SNPS,Synopsys Inc. Common Stock
CDNS,Cadence Design Systems Inc. Common Stock
MSI,Motorola Solutions Inc. Common Stock
CRWD,CrowdStrike Holdings Inc. Class A Common Stock
MRVL,Marvell Technology Inc. Common Stock
WDAY,Workday Inc. Class A Common Stock
EMR,Emerson Electric Company Common Stock
ADSK,Autodesk Inc. Common Stock
NXPI,NXP Semiconductors N.V. Common Stock
FTNT,Fortinet Inc. Common Stock
TTD,The Trade Desk Inc. Class A Common Stock
TEAM,Atlassian Corporation Class A Common Stock
APP,Applovin Corporation Class A Common Stock
