Symbol,Name
TMUS,T-Mobile US Inc. Common Stock
CCZ,Comcast Holdings ZONES
CSCO,Cisco Systems Inc. Common Stock (DE)
TBC,AT&T Inc. 5.625% Global Notes due 2067
VZ,Verizon Communications Inc. Common Stock
TBB,AT&T Inc. 5.350% Global Notes due 2066
CMCSA,Comcast Corporation Class A Common Stock
T,AT&T Inc.
ANET,Arista Networks Inc. Common Stock
CHTR,Charter Communications Inc. Class A Common Stock New
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares
CHT,Chunghwa Telecom Co. Ltd.
BCE,BCE Inc. Common Stock
TEF,Telefonica SA Common Stock
VOD,Vodafone Group Plc American Depositary Shares
TU,Telus Corporation Ordinary Shares
WBD,Warner Bros. Discovery Inc. Series A Common Stock 
RCI,Rogers Communication Inc. Common Stock
TLK,PT Telekomunikasi Indonesia Tbk
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share)
FFIV,F5 Inc. Common Stock
LBRDK,Liberty Broadband Corporation Class C Common Stock
JNPR,Juniper Networks Inc. Common Stock
LBRDA,Liberty Broadband Corporation Class A Common Stock
ROKU,Roku Inc. Class A Common Stock
FYBR,Frontier Communications Parent Inc. Common Stock
SKM,SK Telecom Co. Ltd. Common Stock
KT,KT Corporation Common Stock
LBTYK,Liberty Global Ltd. Class C Common Shares
LBTYA,Liberty Global Ltd. Class A Common Shares
LUMN,Lumen Technologies Inc. Common Stock
LBTYB,Liberty Global Ltd. Class B Common Shares
TIMB,TIM S.A. American Depositary Shares (Each representing 5 Common Shares) 
TKC,Turkcell Iletisim Hizmetleri AS Common Stock
PHI,PLDT Inc. Sponsored ADR
USM,United States Cellular Corporation Common Stock
TIGO,Millicom International Cellular S.A. Common Stock
LITE,Lumentum Holdings Inc. Common Stock
TEO,Telecom Argentina SA
LBRDP,Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock
IRDM,Iridium Communications Inc Common Stock
ESE,ESCO Technologies Inc. Common Stock
TDS,Telephone and Data Systems Inc. Common Shares
VEON,VEON Ltd. ADS
ZD,Ziff Davis Inc. Common Stock
UZD,United States Cellular Corporation 6.250% Senior Notes due 2069
CABO,Cable One Inc. Common Stock
EXTR,Extreme Networks Inc. Common Stock
LILA,Liberty Latin America Ltd. Class A Common Stock
