Symbol,Name
SO,Southern Company (The) Common Stock
DUK,Duke Energy Corporation (Holding Company) Common Stock
WM,Waste Management Inc. Common Stock
CEG,Constellation Energy Corporation Common Stock 
WMB,Williams Companies Inc. (The) Common Stock
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares
EPD,Enterprise Products Partners L.P. Common Stock
RSG,Republic Services Inc. Common Stock
PCG,Pacific Gas & Electric Co. Common Stock
ET,Energy Transfer LP Common Units 
OKE,ONEOK Inc. Common Stock
KMI,Kinder Morgan Inc. Common Stock
AEP,American Electric Power Company Inc. Common Stock
SRE,DBA Sempra Common Stock
D,Dominion Energy Inc. Common Stock
TRP,TC Energy Corporation Common Stock
WCN,Waste Connections Inc. Common Shares
PEG,Public Service Enterprise Group Incorporated Common Stock
LNG,Cheniere Energy Inc. Common Stock
VST,Vistra Corp. Common Stock
EXC,Exelon Corporation Common Stock
XEL,Xcel Energy Inc. Common Stock
TRGP,Targa Resources Inc. Common Stock
ED,Consolidated Edison Inc. Common Stock
EIX,Edison International Common Stock
ETR,Entergy Corporation Common Stock
WEC,WEC Energy Group Inc. Common Stock
AWK,American Water Works Company Inc. Common Stock
SOJC,Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1 2077
DTE,DTE Energy Company Common Stock
SOJD,Southern Company (The) Series 2020A 4.95% Junior Subordinated Notes due January 30 2080
CQP,Cheniere Energy Partners LP Common Units
FE,FirstEnergy Corp. Common Stock
PPL,PPL Corporation Common Stock
AEE,Ameren Corporation Common Stock
ES,Eversource Energy (D/B/A) Common Stock
ATO,Atmos Energy Corporation Common Stock
FTS,Fortis Inc. Common Shares
CMS,CMS Energy Corporation Common Stock
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078
CNP,CenterPoint Energy Inc (Holding Co) Common Stock
NRG,NRG Energy Inc. Common Stock
TVE,Tennessee Valley Authority
NI,NiSource Inc Common Stock
GFL,GFL Environmental Inc. Subordinate voting shares no par value
SREA,DBA Sempra 5.750% Junior Subordinated Notes due 2079
LNT,Alliant Energy Corporation Common Stock
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share)
